Town,Total,White,Black / African American,American Indian / Alaska Native,Asian,Hispanic,Native Hawaiian / Pacific Islander,Some other race,Two or more races,Male,Female,Under 5 years,5 to 17 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and over,Median Age,Population in Households,Population in Group Quarters,Total Lang,Speak only English,Speak some other language,"Speak English ""very well""","Speak English ""well""","Speak English ""not well""","Speak English ""not at all""",Total MF,Male,Female,Working,Drove Alone,Carpooled,Bus or Trolley Bus,Streetcar or Trolley Car,Subway or Elevated,Railroad,Ferryboat,Taxicab,Motorcycle,Bicycle,  Walked,Other Means,Worked at Home,Mean Travel Time to Work (min),Total households,Average household size,1 Person Household,2 Person Household,3 Person Household,4 Person Household,5 Person Household,6 Person Household,7+ Person Household,Average Vehicles per Household,No vehicle available,1 vehicle available,2 vehicles available,3 vehicles available,4 vehicles available,5 or more vehicles available,Median household income ($),"Under 10,000","10,000 to 19,999","20,000 to 29,999","30,000 to 39,999","40,000 to 49,999","50,000 to 59,999","60,000 to 74,999","75,000 to 99,999","100,000 to 124,999","125,000 to 149,999","150,000 to 199,999","200,000 and up"
Dennis,14207,13117,279,56,81,306,9,131,228,6597,7610,512,1465,756,1065,1241,2052,2539,2301,2276,55,14085,122,13695,12905,790,523,226,41,0,12224,5714,6510,6110,4997,536,32,0,0,10,0,0,0,0,156,21,358,25.9,6928,2.03,2521,2847,783,486,201,68,22,1.7,209,2925,2808,781,147,58,50642,382,626,909,717,794,518,728,888,527,291,362,186
Dighton,7086,6769,55,12,45,104,0,14,87,3553,3533,384,1429,529,600,1119,1255,838,540,392,41,7006,80,6702,5986,716,564,92,60,0,5660,2645,3015,3645,3150,309,0,0,18,0,0,0,14,14,0,33,107,28.4,2472,2.83,472,739,477,463,210,76,35,2.18,41,580,1089,498,190,74,83621,80,197,210,145,165,103,180,489,409,146,237,111
Douglas,8471,8074,35,14,75,139,3,9,122,4215,4256,532,1770,545,826,1540,1602,964,421,271,39,8471,0,7939,7631,308,308,0,0,0,6200,2972,3228,4746,4070,337,0,0,0,39,0,13,30,0,27,18,212,33.5,3000,2.82,506,963,562,649,212,77,31,2.2,104,550,1377,684,198,87,86214,79,155,150,109,159,211,475,510,393,447,213,99
Dover,5589,5099,34,7,285,83,3,6,72,2780,2809,261,1487,245,196,662,1135,841,467,295,45,5589,0,5328,4828,500,467,0,33,0,4067,1962,2105,2458,1872,168,0,0,25,213,0,0,0,10,37,31,102,32.8,1869,2.99,247,609,328,388,214,64,19,2.28,23,250,1017,372,169,38,164583,12,26,32,99,61,64,150,115,177,104,260,769
Dudley,11390,10682,118,13,93,330,1,19,134,5702,5688,549,1997,1597,1088,1656,1804,1367,696,636,38,10553,837,10841,9544,1297,749,373,175,0,8738,4489,4249,5626,4731,425,79,0,0,18,0,0,13,0,198,0,162,25.8,4062,2.6,927,1343,748,671,267,78,28,1.96,245,992,1884,625,241,75,64782,142,329,374,196,440,427,467,740,384,290,170,103
Dunstable,3179,2993,6,3,97,44,4,0,32,1598,1581,126,788,194,152,477,701,425,211,105,43,3179,0,3053,2895,158,116,18,24,0,2281,1073,1208,1646,1433,80,10,0,0,16,0,0,4,0,0,9,94,32.1,1063,2.99,136,352,165,265,107,27,11,2.5,12,116,538,220,81,96,113594,14,60,15,26,39,77,92,137,178,114,169,142
Duxbury,15059,14499,59,16,148,184,2,37,114,7241,7818,709,3532,765,688,1883,2720,2308,1332,1122,45,14917,142,14350,13623,727,663,56,8,0,10945,5018,5927,6120,4878,190,130,0,54,298,0,0,0,16,106,28,420,36.3,5344,2.79,1044,1730,845,1003,520,161,41,2.05,178,1190,2616,998,298,64,114565,147,154,253,238,210,270,519,503,597,521,752,1180
East Bridgewater,13794,13004,209,25,117,204,0,62,173,6729,7065,764,2645,1081,1384,2068,2313,1749,1039,751,41,13659,135,13030,12395,635,509,85,41,0,10874,4991,5883,7235,5985,578,0,0,48,201,0,0,0,12,22,24,365,28.3,4750,2.88,911,1423,852,870,437,168,89,2.09,104,1218,2098,880,357,93,78492,148,248,303,293,460,303,468,852,696,374,391,214
East Brookfield,2183,2079,11,5,6,51,0,1,30,1107,1076,107,385,156,230,329,372,296,182,126,42,2183,0,2076,2066,10,8,2,0,0,1611,769,842,1102,888,130,0,0,0,0,0,0,0,0,0,33,51,32.1,828,2.64,155,332,142,111,52,27,9,2.01,7,268,369,123,18,43,71964,23,66,74,46,75,78,55,167,71,78,41,54
East Longmeadow,15720,14612,212,9,376,357,0,16,138,7401,8319,728,2888,1001,1217,2014,2712,1996,1290,1874,45,15277,443,14992,13838,1154,808,141,174,31,12278,5771,6507,7768,6752,521,9,0,0,0,0,0,0,0,104,8,374,22.6,5851,2.61,1388,1856,1058,973,409,120,47,1.92,317,1596,2630,940,298,70,77956,190,366,389,435,535,413,489,884,701,504,602,343
Eastham,4956,4750,34,12,28,75,0,7,50,2307,2649,141,486,243,318,450,724,987,825,782,57,4956,0,4815,4563,252,226,26,0,0,4614,2184,2430,2099,1724,104,0,0,0,0,0,0,0,19,143,22,87,23.6,2388,2.08,727,1103,304,183,52,15,4,1.84,77,882,949,340,106,34,58750,20,240,303,217,324,94,277,340,201,133,124,115
Easthampton,16053,14677,160,31,378,590,3,13,201,7629,8424,778,2104,1168,2200,2213,2715,2563,1107,1205,43,16001,52,15275,13402,1873,1157,411,285,20,13451,6451,7000,8948,7638,706,37,0,0,0,0,0,35,145,195,14,178,22.5,7224,2.21,2447,2532,1063,791,264,92,35,1.7,501,2993,2508,790,242,190,54657,423,775,711,760,759,473,609,1307,806,199,273,129
Easton,23112,20785,725,17,561,575,4,119,326,11063,12049,1095,4144,3336,1875,3075,3786,3004,1603,1194,40,20929,2183,22017,20384,1633,1261,223,148,1,18923,8968,9955,11917,9287,637,24,0,178,336,0,0,0,24,561,72,798,31.1,7865,2.66,1758,2507,1388,1359,650,148,55,1.95,164,2299,3658,1328,339,77,86050,351,469,305,492,479,470,821,1011,958,729,963,817
Edgartown,4067,3550,85,17,19,99,1,193,103,2092,1975,227,576,232,470,540,690,711,362,259,45,4034,33,3840,3714,126,72,0,54,0,3484,1985,1499,2091,1598,120,35,0,11,0,26,0,0,64,58,0,179,16,1794,2.25,565,653,290,190,60,25,11,1.88,62,526,869,238,100,-1,67625,111,15,195,110,262,121,110,429,82,91,63,205
Egremont,1225,1171,7,1,7,29,1,0,9,578,647,36,148,74,73,106,214,262,178,134,54,1218,7,1189,1134,55,30,18,7,0,1116,518,598,671,495,40,0,0,12,11,0,0,0,0,15,12,86,21.5,563,2.16,170,236,77,60,16,3,1,1.92,4,198,236,100,16,9,51856,27,53,63,68,45,70,52,60,80,12,3,30
Erving,1800,1728,5,5,4,32,0,1,25,881,919,91,314,102,232,248,270,292,141,110,41,1800,0,1709,1626,83,68,12,3,0,1412,697,715,878,719,97,3,0,0,0,0,0,2,3,13,4,37,23.5,745,2.42,217,252,126,93,31,17,9,1.86,41,233,318,101,48,4,51458,30,105,70,78,74,97,82,118,45,33,3,10
Essex,3504,3369,11,0,34,46,1,4,39,1753,1751,187,636,194,298,475,666,558,249,241,44,3504,0,3317,3234,83,50,33,0,0,2797,1351,1446,1883,1494,66,24,0,9,144,0,0,0,0,27,0,119,29.9,1402,2.5,393,451,215,222,73,37,11,1.98,27,342,743,229,40,21,76989,15,64,88,156,93,57,191,189,198,139,101,111
Everett,41667,22316,5652,84,1982,8792,13,1833,995,20441,21226,2862,6638,4094,7021,6449,5778,4044,2345,2436,35,41476,191,38805,21818,16987,7127,4663,3524,1673,33124,16269,16855,21195,12424,2517,2660,253,1626,90,0,0,0,160,790,424,251,29.1,15543,2.67,4309,4226,2817,2235,1127,446,383,1.36,2780,6900,4108,1160,373,222,49737,1013,1863,1609,1924,1395,1151,1806,2339,1093,516,629,205
Fairhaven,15873,15034,140,23,152,198,9,125,192,7636,8237,696,2304,1111,1605,2142,2624,2262,1424,1705,45,15549,324,15177,13792,1385,903,283,171,28,13419,6137,7282,8116,7161,667,47,0,0,0,9,0,19,24,64,10,115,21.5,6672,2.33,2096,2199,1090,857,287,98,45,1.76,468,2351,2598,919,238,98,54144,419,881,606,552,728,421,661,1117,601,369,172,145
Fall River,88857,74107,3016,163,2249,6562,10,787,1963,42193,46664,5742,13327,8622,13207,12092,12372,10054,6295,7146,38,87122,1735,83115,55296,27819,16479,4314,5009,2017,72601,33923,38678,37471,30217,4507,535,0,15,30,7,36,43,139,1087,209,646,22,38457,2.27,13428,11812,6436,4434,1524,521,302,1.34,6858,16694,11072,2857,622,354,34236,4852,7230,5114,4585,3086,3149,3281,3325,1966,907,637,325
Falmouth,31531,28612,576,163,405,565,12,408,790,14747,16784,1294,4176,1879,2496,3252,4986,5259,4127,4062,51,31023,508,30237,27765,2472,1480,569,317,106,27219,12333,14886,14623,11879,986,72,0,24,55,82,0,35,119,232,60,1079,24.5,14069,2.21,4578,5462,1801,1412,551,185,80,1.77,511,5121,6236,1607,494,100,62392,708,1340,1145,1275,1161,1139,1785,1875,1244,832,870,695
Fitchburg,40318,27502,1614,69,1451,8727,7,89,859,19589,20729,2719,6506,5696,5372,5085,5699,4240,2403,2598,35,37780,2538,37599,29254,8345,5061,1788,1207,289,32421,15779,16642,18188,14198,2006,306,0,33,27,0,94,9,0,804,136,575,25.9,15165,2.49,4523,4701,2496,1904,934,367,240,1.53,2461,5143,5318,1599,583,61,47019,1704,1978,1738,1188,1320,1057,1800,1894,1353,535,378,220
Florida,752,726,5,2,6,5,0,0,8,386,366,45,120,48,57,105,152,102,74,49,45,752,0,707,696,11,3,5,3,0,629,347,282,405,339,58,0,0,0,0,0,0,0,0,3,0,5,30.1,308,2.44,67,128,51,39,20,1,2,2,13,92,114,67,14,8,53333,22,17,36,46,29,31,48,58,8,13,0,0
Foxborough,16865,15465,307,25,539,309,4,43,173,8273,8592,901,3179,1218,1675,2352,3156,2079,1286,1019,42,16840,25,15964,15021,943,716,152,75,0,12994,6124,6870,8854,7414,373,18,0,21,332,0,0,6,20,124,73,473,30.4,6504,2.59,1604,2152,1002,1093,451,147,55,1.91,204,1844,3091,1110,191,64,93397,121,166,487,548,309,444,566,915,875,619,891,563
Framingham,68318,44625,3446,104,4302,9161,18,4067,2595,33015,35303,4546,9735,6578,10339,10188,9951,7673,4381,4927,38,64557,3761,63772,41908,21864,11192,4901,3580,2191,54735,25870,28865,36117,26858,4625,344,57,153,727,0,30,48,158,1361,476,1280,26.8,26173,2.47,7438,8360,4538,3620,1457,506,254,1.62,2643,9119,11024,2599,622,166,64061,1673,2095,2267,2128,2147,1838,2426,3378,2459,2200,2099,1463
Freetown,8870,8480,77,9,55,109,0,57,83,4452,4418,391,1619,662,785,1321,1552,1462,678,400,42,8778,92,8479,7481,998,851,98,39,10,7128,3664,3464,5005,4398,279,29,0,0,23,13,0,10,0,29,0,224,31,3162,2.78,465,1160,665,542,224,58,48,2.23,71,541,1464,830,192,64,82308,94,116,242,186,239,215,296,610,561,270,186,147
Gardner,20228,17595,500,44,291,1430,4,23,341,10356,9872,1216,2984,1748,2619,2828,3358,2489,1297,1689,41,18946,1282,19012,16724,2288,1422,587,231,48,16614,8685,7929,9245,7270,1087,37,0,0,16,0,133,54,30,402,19,197,25.7,8224,2.3,2641,2720,1354,986,348,134,41,1.59,1111,2792,3128,873,205,115,48333,616,1259,778,1012,535,677,1062,1061,504,389,161,170
Georgetown,8183,7832,37,7,76,143,0,4,84,4040,4143,484,1723,444,687,1224,1572,1125,555,369,42,8161,22,7699,7460,239,181,15,43,0,5979,3071,2908,4040,3546,162,30,0,16,9,0,0,0,0,49,0,228,31.2,2937,2.78,522,963,546,571,256,56,23,2.15,51,558,1581,502,135,110,101875,39,123,198,96,168,217,227,348,345,416,391,369
Gill,1500,1439,13,3,19,12,0,0,14,746,754,52,234,115,127,170,303,292,123,84,47,1336,164,1448,1426,22,20,0,2,0,1198,622,576,729,579,87,0,0,0,0,13,0,7,3,11,8,21,23.8,568,2.35,161,201,102,68,25,7,4,2.13,20,135,229,139,25,20,58487,21,45,53,35,49,92,67,79,49,47,21,10
Gloucester,28789,27100,199,29,256,787,16,99,303,13845,14944,1288,4066,2038,2834,3512,5071,4881,2646,2453,46,28339,450,27501,24598,2903,1815,528,492,68,24071,11304,12767,14590,10932,1286,112,0,39,424,0,55,11,131,653,113,834,23.9,12486,2.27,4098,4297,1881,1399,563,172,76,1.64,1078,4776,4731,1429,417,55,60506,705,1292,1102,1246,955,883,1330,1856,1224,590,565,738
Gosnold,75,72,0,0,0,0,0,0,3,43,32,5,6,4,9,10,11,17,9,4,49,75,0,70,67,3,3,0,0,0,191,97,94,94,18,3,0,0,0,0,0,0,2,0,69,0,2,11.7,39,1.92,18,13,2,5,1,0,0,1.15,12,10,16,1,0,0,46250,0,7,7,5,1,6,3,5,1,0,3,1
Grafton,17765,15477,184,15,1370,406,2,39,272,8605,9160,1203,3338,1023,2103,3075,2985,2115,1063,860,39,17674,91,16562,14305,2257,1718,412,94,33,13043,6024,7019,8909,7150,628,77,13,38,223,0,22,28,42,72,40,576,33.1,6892,2.56,1665,2237,1197,1215,434,113,31,1.92,204,1890,3561,851,278,108,91743,156,414,246,555,447,508,459,921,826,709,968,683
Granby,6240,5941,23,13,68,130,1,4,60,3084,3156,249,1141,456,579,881,1182,911,467,374,43,6239,1,5991,5525,466,298,66,102,0,5047,2270,2777,3341,3113,121,16,0,0,0,0,0,0,0,0,9,82,23.5,2374,2.63,519,802,432,412,136,41,32,1.86,100,829,914,390,111,30,66726,92,169,149,277,160,200,246,442,294,224,122,-1
Granville,1566,1508,4,5,5,29,0,0,15,796,770,68,269,128,99,206,339,254,108,95,45,1566,0,1498,1436,62,49,5,8,0,1228,584,644,831,682,51,10,0,0,0,0,0,0,0,13,0,75,32.5,608,2.58,127,225,111,92,36,12,5,2.22,3,143,228,196,28,10,69125,9,62,21,42,42,67,83,127,60,47,24,24
Great Barrington,7104,6200,177,12,124,424,1,24,142,3390,3714,262,1144,681,673,739,1105,1203,616,681,46,6338,766,6842,6068,774,341,177,256,0,6164,2842,3322,3730,2747,462,38,0,13,0,0,0,0,10,203,21,236,18.4,2879,2.2,1013,997,402,304,112,30,21,1.53,392,1134,892,385,44,32,52843,147,391,386,264,228,204,357,374,174,59,170,125
Greenfield,17456,15675,262,52,236,853,2,32,344,8299,9157,1005,2431,1456,2128,2281,2716,2560,1278,1601,43,16850,606,16451,15289,1162,597,350,96,119,14443,6922,7521,8388,6730,588,91,0,0,0,0,11,76,29,507,55,301,20.1,7852,2.15,2982,2573,1124,727,309,91,46,1.48,873,3514,2634,548,232,51,45261,555,1195,708,1063,844,623,1018,1058,319,245,142,82
Groton,10646,9964,45,7,293,193,1,8,135,5264,5382,517,2542,592,672,1485,2363,1438,584,453,43,10461,185,10129,9575,554,493,61,0,0,7592,3751,3841,5005,4219,122,0,0,13,139,0,0,0,14,81,0,417,31,3753,2.79,728,1129,662,821,311,79,23,2.16,118,592,2026,727,181,109,123853,65,155,62,131,183,199,223,484,410,444,546,851
Groveland,6459,6230,28,3,59,85,2,4,48,3127,3332,312,1282,443,454,919,1225,851,515,458,44,6459,0,6147,5907,240,191,10,39,0,4749,2182,2567,2969,2435,209,25,0,0,27,0,0,0,0,25,9,239,33.2,2346,2.75,435,782,415,463,170,62,19,2.09,56,674,975,368,198,75,84232,50,205,66,96,166,120,269,472,343,238,119,202
Hadley,5250,4695,96,8,210,163,1,5,72,2507,2743,188,768,540,500,567,843,803,434,607,46,5085,165,5062,4697,365,239,52,66,8,4298,1999,2299,2428,2097,132,0,0,0,10,0,0,0,31,30,0,128,18.3,2107,2.41,581,748,340,277,115,28,18,1.88,209,412,1012,391,63,20,69911,83,239,153,223,91,172,191,452,217,151,94,41
Halifax,7518,7236,45,4,42,81,0,17,93,3659,3859,376,1337,539,709,1122,1297,1087,601,450,43,7518,0,7142,7065,77,56,0,21,0,6122,2921,3201,4070,3391,323,0,0,97,219,0,0,0,0,0,0,40,35.3,2863,2.63,673,941,497,428,223,73,28,1.95,119,702,1472,392,139,39,81855,141,187,161,223,82,212,294,623,396,152,267,125
Hamilton,7764,7088,42,12,420,121,0,5,76,3815,3949,492,1613,526,731,961,1448,1053,498,442,41,7616,148,7272,6362,910,588,148,174,0,5952,3030,2922,3574,2520,174,0,0,10,182,0,0,0,0,140,24,524,29.2,2692,2.83,422,871,541,552,233,60,13,2,12,868,1117,544,119,32,99732,101,278,176,202,126,39,225,202,471,175,378,319
Hampden,5139,4908,25,3,70,75,1,7,50,2498,2641,191,907,346,342,594,966,846,528,419,47,5046,93,4948,4550,398,265,102,31,0,4255,2129,2126,2546,2247,215,0,0,0,0,0,0,9,0,34,0,41,24.2,1898,2.66,339,713,360,313,120,32,21,2.09,40,402,951,395,75,35,78869,25,169,115,159,136,106,201,257,272,170,174,114
Hanover,13879,13300,106,13,160,128,4,47,121,6775,7104,767,3111,900,968,1986,2489,1806,1074,778,42,13781,98,13112,12619,493,342,128,23,0,10374,5151,5223,6421,5353,431,49,0,28,173,30,19,0,0,43,12,283,32.9,4709,2.93,821,1360,843,985,500,151,49,2.14,239,908,2230,740,488,104,100233,224,180,257,231,113,252,350,740,633,665,615,449
Hanson,10209,9785,96,2,48,95,1,49,133,5075,5134,532,2111,787,895,1587,1796,1339,727,435,40,10189,20,9677,9124,553,391,116,46,0,7787,3803,3984,5287,4513,337,24,0,81,150,0,0,17,0,46,12,107,33.3,3468,2.94,599,1011,644,715,318,128,53,2.16,57,704,1677,724,279,27,81964,39,219,206,206,165,214,312,923,464,238,360,122
Hardwick,2990,2865,27,8,6,53,2,0,29,1501,1489,168,594,285,289,383,487,398,209,177,40,2783,207,2822,2711,111,86,25,0,0,2407,1182,1225,1361,1134,95,0,0,0,0,0,0,0,0,12,6,114,32,1094,2.54,266,389,184,146,70,28,11,1.84,71,350,418,197,50,8,57866,81,180,57,99,50,113,168,86,76,57,45,82
Harvard,6520,5668,259,1,217,264,3,2,106,3779,2741,204,1288,485,717,761,1382,1003,470,210,43,5228,1292,6316,5648,668,354,213,65,36,5201,2916,2285,2577,2073,131,0,0,0,23,0,0,8,9,45,24,264,29.7,1893,2.76,302,671,356,366,149,40,9,2.2,27,262,1064,426,69,45,141274,26,66,58,0,87,43,51,130,260,285,320,567
Harwich,12243,11347,188,37,80,178,2,189,222,5688,6555,472,1500,660,853,1256,1847,2104,1698,1853,53,12074,169,11771,11049,722,418,226,77,1,10472,4654,5818,5268,4416,421,50,0,0,0,0,12,13,0,73,28,255,20.1,5623,2.15,1857,2299,652,536,187,67,25,1.76,228,2181,2266,666,244,38,54958,291,637,407,589,520,566,610,757,459,328,288,171
Haverhill,60879,48394,1533,82,971,8831,8,157,903,29207,31672,4238,9777,5209,8365,8869,9788,7228,3667,3738,39,59579,1300,56641,44980,11661,7949,1846,1535,331,47084,22471,24613,30255,24323,2943,448,0,35,474,0,96,59,51,623,37,1166,27.8,24150,2.47,7149,7374,4164,3316,1397,489,261,1.61,2581,8628,9611,2530,675,125,61956,1394,2443,1950,2183,1777,1958,2527,3680,2676,1560,1241,761
Hawley,337,323,1,2,4,5,0,0,2,170,167,13,40,39,20,40,54,57,57,17,49,310,27,324,318,6,4,2,0,0,315,164,151,178,106,37,0,0,0,0,0,0,0,0,10,0,25,37.9,128,2.42,29,57,16,16,6,3,1,1.96,7,47,40,19,8,7,65313,7,16,5,7,11,12,16,17,9,14,12,2
Heath,706,680,3,1,0,10,0,0,12,363,343,25,104,44,53,69,131,142,83,55,50,706,0,681,633,48,32,0,16,0,381,176,205,238,177,26,0,0,0,0,0,0,2,12,0,0,21,38.2,302,2.34,80,140,27,28,18,5,4,1.98,0,71,178,39,15,-1,68875,23,34,26,27,13,11,50,58,31,10,8,11
Hingham,22157,21135,109,31,343,241,8,36,254,10405,11752,1408,4624,934,1306,3011,3631,2899,1882,2462,44,21891,266,20749,19769,980,812,73,95,0,16525,7523,9002,9844,7059,482,45,0,266,302,825,10,10,0,252,23,570,35.8,8465,2.59,2253,2646,1222,1355,742,199,48,1.86,594,2299,3882,1206,319,165,98890,333,372,531,424,546,381,824,880,725,662,1113,1674
Hinsdale,2032,1976,8,1,7,18,0,0,22,1018,1014,71,308,161,172,243,393,328,215,141,47,2032,0,1961,1902,59,41,16,2,0,1804,889,915,1065,918,124,0,0,0,0,0,0,0,0,8,3,12,22.4,868,2.34,225,351,140,98,34,17,3,1.8,21,301,403,117,24,2,60766,24,49,97,108,68,78,167,105,76,45,25,26
Holbrook,10791,8721,918,22,310,474,2,108,236,5258,5533,638,1742,886,1235,1494,1863,1354,778,801,41,10755,36,10153,8446,1707,1010,383,208,106,8652,4364,4288,5607,4617,418,50,0,195,37,0,0,16,0,102,69,103,29.3,4102,2.62,1038,1247,757,623,259,115,63,1.82,195,1291,1925,505,116,70,62623,151,304,273,441,370,341,665,566,393,302,212,84
Holden,17346,16086,163,9,513,373,2,24,176,8417,8929,990,3422,1020,1531,2476,2971,2415,1317,1204,42,17207,139,16356,14819,1537,1175,296,66,0,13277,6278,6999,8591,7622,529,0,0,12,38,0,0,10,10,75,10,285,27.1,6394,2.69,1243,2224,1107,1163,480,130,47,1.91,198,1691,3382,788,302,33,88405,241,238,334,281,379,418,682,1009,941,761,590,520
Holland,2481,2358,14,11,11,57,0,2,28,1285,1196,106,419,171,288,347,485,392,171,102,43,2481,0,2375,2293,82,70,12,0,0,2160,1166,994,1481,1266,183,0,0,0,0,0,0,0,0,6,0,26,33.8,994,2.5,220,375,175,158,50,10,6,1.99,16,281,468,157,72,0,67596,46,67,69,126,85,55,99,170,177,46,23,31
Holliston,13547,12645,117,12,331,246,2,61,133,6667,6880,753,2855,754,982,1885,2672,1947,1012,687,43,13512,35,12794,11760,1034,646,257,116,15,10299,5160,5139,6760,5587,455,0,0,19,175,0,0,0,0,62,10,452,33.1,4940,2.74,924,1605,907,1023,367,83,31,2.08,139,1076,2497,815,333,80,103600,106,146,258,260,251,285,460,631,653,498,686,706
Holyoke,39880,18651,961,43,402,19313,7,61,442,18701,21179,3076,7435,4066,5342,4833,5211,4257,2531,3129,35,38495,1385,36804,19948,16856,9847,3780,1997,1232,30784,14092,16692,14179,11092,1633,357,0,0,0,0,0,14,48,570,176,289,18.9,15361,2.51,4909,4365,2509,1929,973,383,293,1.22,3573,6548,3874,1032,295,39,31948,3019,2716,1737,1239,1494,1134,1100,1413,781,355,250,123
Hopedale,5911,5561,36,4,101,127,1,18,63,2897,3014,323,1203,350,501,939,1073,719,342,461,42,5833,78,5588,5103,485,381,62,42,0,4685,2159,2526,2940,2389,350,0,0,23,46,0,0,0,1,39,0,92,29.5,2194,2.66,495,657,409,437,149,31,16,2.01,58,431,1283,281,129,12,97227,61,134,112,144,141,39,154,402,360,203,226,218
Hopkinton,14925,13687,122,8,654,267,0,28,159,7340,7585,902,3868,756,912,2377,3162,1770,694,484,40,14798,127,14023,13133,890,675,91,124,0,10114,4883,5231,6996,5631,188,12,0,0,400,0,0,0,0,138,39,588,33.2,4957,2.99,794,1297,948,1235,520,128,35,2.14,43,1049,2526,964,252,123,120240,37,258,79,132,114,249,423,580,704,355,663,1363
Hubbardston,4382,4225,21,1,21,63,0,7,44,2189,2193,211,899,353,329,639,914,626,250,161,42,4377,5,4171,3979,192,181,0,11,0,3341,1845,1496,2175,1861,195,0,0,0,10,0,0,0,0,0,0,109,33.6,1566,2.8,260,575,256,279,127,49,20,2.12,44,323,743,366,39,51,82443,21,134,98,131,51,65,214,286,252,73,156,85
Hudson,19063,16945,276,13,426,814,0,250,339,9403,9660,1161,3186,1231,2293,2847,3188,2426,1483,1248,41,19040,23,17902,14479,3423,1800,719,699,205,14951,7381,7570,9956,8452,793,21,0,12,20,0,20,16,0,319,19,284,24.5,7528,2.53,1946,2505,1233,1190,434,142,78,1.8,404,2551,3172,1031,310,60,74983,437,525,570,726,401,333,774,1095,978,615,591,483
Hull,10293,9702,88,34,100,173,5,43,148,4877,5416,423,1357,660,929,1301,2091,1932,984,616,47,10293,0,9870,9257,613,489,72,52,0,8789,3817,4972,5965,4753,419,33,0,54,33,190,0,0,43,135,90,215,35.9,4630,2.22,1581,1628,686,434,182,94,25,1.63,354,1906,1687,493,164,26,72166,191,394,264,538,229,325,511,541,804,387,182,264
Huntington,2180,2090,4,5,3,41,2,0,35,1093,1087,108,354,161,231,319,403,347,161,96,43,2180,0,2072,1919,153,137,11,5,0,1721,812,909,1159,983,144,0,0,0,0,0,0,0,0,11,0,21,33,868,2.51,202,314,165,124,37,15,11,1.99,18,281,353,148,47,21,61912,47,94,67,81,108,25,100,157,112,29,28,20
Ipswich,13175,12471,61,12,174,232,6,55,164,6275,6900,584,2198,747,1036,1624,2463,2172,1186,1165,47,12999,176,12591,11893,698,558,136,4,0,10736,5118,5618,6474,5261,321,0,0,22,315,0,0,0,17,150,0,388,29.6,5462,2.38,1572,1896,843,778,277,73,23,1.8,215,1882,2444,713,123,85,80816,204,272,363,453,343,509,450,727,741,374,533,493
Kingston,12629,12031,129,12,116,140,1,53,147,6040,6589,695,2502,838,1045,1836,2180,1620,917,996,42,12399,230,11934,11483,451,324,87,40,0,9534,4537,4997,5839,4870,380,33,0,37,230,0,0,0,0,60,43,186,32.7,4665,2.66,1139,1438,756,787,363,143,39,1.95,201,1355,1992,823,195,99,77656,156,338,258,347,375,280,483,598,409,454,582,385
Lakeville,10602,10187,78,13,86,92,1,38,107,5195,5407,544,2141,736,809,1539,2042,1470,763,558,42,10506,96,10058,9518,540,409,45,86,0,8007,3837,4170,5597,4681,437,0,0,39,156,0,0,17,10,77,16,164,31.8,3725,2.82,627,1227,700,721,314,98,38,2.32,71,432,1933,894,304,91,92033,80,110,133,197,181,338,338,698,544,361,490,255
Lancaster,8055,6568,572,5,140,655,0,30,85,4537,3518,346,1329,863,1115,1110,1408,939,516,429,39,6398,1657,7709,7075,634,518,55,51,10,6383,3649,2734,3382,2699,321,0,0,0,20,0,0,0,0,97,15,230,27.7,2409,2.66,526,838,404,385,163,58,35,2.07,157,423,1178,425,197,29,80938,113,229,142,185,78,156,217,306,390,117,302,174
Lanesborough,3091,2963,39,1,20,41,1,1,25,1521,1570,135,502,194,231,410,620,485,313,201,46,3091,0,2956,2787,169,95,51,23,0,2529,1299,1230,1803,1635,76,0,0,0,0,0,0,8,26,43,0,15,18.7,1291,2.39,328,488,236,162,46,19,12,1.96,20,324,642,296,8,1,66458,12,159,61,123,78,85,199,279,69,88,42,96
Lawrence,76377,15637,1722,130,1756,56363,2,253,514,36774,39603,6402,15780,9327,11485,10407,9651,6768,3523,3034,31,75475,902,69975,17597,52378,25025,9870,10521,6962,55912,26775,29137,30052,19443,7010,871,0,82,79,0,1024,0,63,1010,238,232,23.4,25181,3,6169,5572,4548,4127,2508,1188,1069,1.16,6020,11651,5449,1594,355,112,31631,4397,4255,3455,2059,2359,1923,2391,1958,1323,406,335,320
Lee,5943,5453,57,10,100,261,0,23,39,2855,3088,269,828,473,610,749,965,895,579,575,45,5782,161,5674,5343,331,157,37,85,52,4948,2355,2593,2771,2109,316,11,0,0,0,0,0,33,0,200,13,89,17,2560,2.26,829,896,402,282,107,30,14,1.57,282,952,1048,160,109,9,50599,63,386,280,186,325,270,137,477,182,125,108,21
Lenox,5025,4671,55,4,69,138,2,17,69,2271,2754,186,765,252,345,491,768,791,530,897,52,4768,257,4839,4380,459,370,82,7,0,4022,1874,2148,2093,1552,121,0,0,0,0,0,0,0,19,140,8,253,15.5,2283,2.09,921,759,270,211,90,18,14,1.57,250,908,743,328,54,0,60604,99,243,258,135,134,251,248,337,229,158,92,99
